State,Population,"Violent crimes per 10,000 People"
Alabama,4860545.0,53.24094314526457
Alaska,741522.0,80.45614290607695
Arizona,6908642.0,47.10332363436982
Arkansas,2988231.0,55.42744185439479
California,39296476.0,44.48134229644409
Colorado,5530105.0,34.41164317856532
Connecticut,3587685.0,22.76955752804385
Delaware,952698.0,51.002521260672324
Florida,20656589.0,42.94029377260689
Georgia,10313620.0,39.04351721316085
Hawaii,1428683.0,24.162112938979465
Idaho,1680026.0,23.071071519131248
Illinois,12835726.0,43.670299599726576
Indiana,6634007.0,39.96981010119525
Iowa,3130869.0,29.28899292816148
Kansas,2907731.0,40.11719103314578
Kentucky,4436113.0,23.561167174956996
Louisiana,4686157.0,56.50045442352871
Maine,1330232.0,12.396333872587638
Maryland,6024752.0,48.16629796545982
Massachusetts,6823721.0,38.06574155068767
Michigan,9933445.0,46.088743633251106
Minnesota,5525050.0,24.189826336413244
Mississippi,2985415.0,28.17363750098395
Missouri,6091176.0,52.07532995270535
Montana,1038656.0,37.41373467249984
Nebraska,1907603.0,29.675986041120716
Nevada,2939254.0,67.785907580631
New Hampshire,1335015.0,19.984794178342565
New Jersey,8978416.0,24.34839285682463
New Mexico,2085432.0,69.9375477119369
New York,19836286.0,37.46417046013553
North Carolina,10156689.0,37.18436195102558
North Dakota,755548.0,25.213487428991936
Ohio,11622554.0,30.76690372873294
Oklahoma,3921207.0,45.53444895921077
Oregon,4085989.0,26.879661203199518
Pennsylvania,12787085.0,31.58577580425875
Rhode Island,1057566.0,23.91340114943181
South Carolina,4959822.0,50.681254286948196
South Dakota,861542.0,42.2033980931864
Tennessee,6649404.0,63.853843141430424
Texas,27904862.0,43.3845542758821
Utah,3044321.0,24.327263780659138
Vermont,623354.0,13.651953785489466
Virginia,8414380.0,21.98022908402045
Washington,7280934.0,30.354622085573087
West Virginia,1828637.0,36.27291802583017
Wisconsin,5772917.0,30.68812525799349
Wyoming,584910.0,24.46530235420834
