State,Crime Type,Value
Alabama,Murder Manslaughter,407.0
Alaska,Murder Manslaughter,52.0
Arizona,Murder Manslaughter,389.0
Arkansas,Murder Manslaughter,217.0
California,Murder Manslaughter,1930.0
Colorado,Murder Manslaughter,189.0
Connecticut,Murder Manslaughter,79.0
Delaware,Murder Manslaughter,58.0
Florida,Murder Manslaughter,1111.0
Georgia,Murder Manslaughter,682.0
Hawaii,Murder Manslaughter,35.0
Idaho,Murder Manslaughter,49.0
Illinois,Murder Manslaughter,1061.0
Indiana,Murder Manslaughter,431.0
Iowa,Murder Manslaughter,73.0
Kansas,Murder Manslaughter,132.0
Kentucky,Murder Manslaughter,265.0
Louisiana,Murder Manslaughter,555.0
Maine,Murder Manslaughter,20.0
Maryland,Murder Manslaughter,536.0
Massachusetts,Murder Manslaughter,135.0
Michigan,Murder Manslaughter,612.0
Minnesota,Murder Manslaughter,101.0
Mississippi,Murder Manslaughter,237.0
Missouri,Murder Manslaughter,538.0
Montana,Murder Manslaughter,37.0
Nebraska,Murder Manslaughter,49.0
Nevada,Murder Manslaughter,228.0
New Hampshire,Murder Manslaughter,19.0
New Jersey,Murder Manslaughter,378.0
New Mexico,Murder Manslaughter,139.0
New York,Murder Manslaughter,629.0
North Carolina,Murder Manslaughter,678.0
North Dakota,Murder Manslaughter,16.0
Ohio,Murder Manslaughter,683.0
Oklahoma,Murder Manslaughter,247.0
Oregon,Murder Manslaughter,116.0
Pennsylvania,Murder Manslaughter,674.0
Rhode Island,Murder Manslaughter,29.0
South Carolina,Murder Manslaughter,358.0
South Dakota,Murder Manslaughter,28.0
Tennessee,Murder Manslaughter,495.0
Texas,Murder Manslaughter,1478.0
Utah,Murder Manslaughter,74.0
Vermont,Murder Manslaughter,14.0
Virginia,Murder Manslaughter,482.0
Washington,Murder Manslaughter,195.0
West Virginia,Murder Manslaughter,85.0
Wisconsin,Murder Manslaughter,232.0
Wyoming,Murder Manslaughter,20.0
Alabama,Rape,1915.0
Alaska,Rape,1053.0
Arizona,Rape,3304.0
